tweet,class,words,polarity,emotion
mi mayor problema es pensar demasiado en todo,Depressed,8,negative,others
 la peor tristeza es la tristeza que tu te enseñes a esconder,Depressed,12,negative,sadness
 estoy cansada vete a dormir entonces no tu no entiendes,Depressed,10,neutral,others
 Ya sé que no soy lo suficientemente bueno,Depressed,8,positive,others
 Dormir es tan difícil cuando no puedes dejar de pensar.,Depressed,10,negative,others
" ya no seré el mismo, lo admitiré, muchas cosas me afectan",Depressed,11,neutral,sadness
 digo lo siento mucho porque secretamente siento que todo es mi culpa,Depressed,12,negative,sadness
" apesta, no se siente como si no fueras lo suficientemente bueno, no importa cuánto lo intentes",Depressed,16,neutral,others
 la gente piensa que eres grosero o que siempre estás de mal humor,Depressed,13,negative,anger
 nada duele más que ser ignorado reemplazar olvidar mentir,Depressed,9,negative,sadness
"Cuando lloro por una cosa, termino llorando por todo lo que está mal en mi vida.",Depressed,16,negative,sadness
 todo cambia y ya no se donde encajo,Depressed,8,neutral,joy
 dicen que va a mejorar pero es mentira no mejora solo te acostumbras,Depressed,13,neutral,others
 cada noche me convenzo de que el mañana será diferente pero nunca lo será,Depressed,14,neutral,joy
mi mayor problema es pensar demasiado en todo,Depressed,8,negative,others
 lo peor se siente ser no deseado por la persona que más necesita,Depressed,13,negative,others
 ¿Cuántas veces has escrito que estaré bien mientras lloro?,Depressed,9,neutral,others
 Odio esa sensación cuando no estás necesariamente triste pero te sientes realmente vacío,Depressed,13,negative,sadness
 mis pensamientos siempre destruyen mi estado de animo,Depressed,8,negative,sadness
 ¿Cómo es posible que alguien te pueda lastimar repetidamente y todavía te preocupas tanto por él?,Depressed,16,negative,sadness
 que pasa solo dejamos de hablar,Depressed,6,neutral,others
" apesta, no se siente como si no fueras lo suficientemente bueno, no importa cuánto lo intentes",Depressed,16,neutral,others
 tengo tantas cosas en mente pero termino sin decir nada,Depressed,10,negative,others
 ¿Alguna vez has estado tan triste que duele físicamente?,Depressed,9,negative,sadness
" ¿Qué pasa si Twitter tuitea tus pensamientos sin permiso, todos estaríamos en la mierda?",Depressed,14,negative,others
" Me he esforzado tanto por hacerme una mejor persona, pero por alguna razón nunca soy suficiente.",Depressed,16,neutral,joy
 porque estas triste ya no se,Depressed,6,negative,sadness
" oh, lo siento, olvidé que solo existo cuando necesitas algo",Depressed,10,negative,others
algunas personas cambian repentinamente un día eres importante al día siguiente no vales nada,Depressed,14,negative,others
 me destruyo para que no puedas destruirme,Depressed,7,negative,sadness
 pensar demasiado siempre destruye mi estado de ánimo,Depressed,8,negative,others
 extraño la sensación de saber que soy realmente importante para alguien,Depressed,11,negative,sadness
 cuando la vida apesta ir a la cama,Depressed,8,negative,others
 Pienso demasiado y me destruye por dentro ,Depressed,7,negative,sadness
 nada te mata como tus propios pensamientos,Depressed,7,negative,others
 necesito dejar de imaginar situaciones en mi cabeza que nunca van a suceder,Depressed,13,negative,others
 Soy sensible. Pienso demasiado en cada pequeña cosa y me preocupo demasiado.,Depressed,12,negative,sadness
 pensar demasiado mata mi felicidad las inseguridades matan mi autoestima la mentira mata mi confianza,Depressed,15,negative,others
 estoy constantemente desgarrado entre querer arreglarme y querer destruirme,Depressed,9,negative,sadness
" Honestamente, apesta cuando tienes tanto en mente y nadie a quien decírselo.",Depressed,12,negative,others
 mi sentir oh no te preocupes por los que nadie más lo hace,Depressed,13,neutral,others
 Estaré completamente aterrorizado de ser así por el resto de mi vida.,Depressed,12,negative,fear
 emocionalmente estaré mentalmente agotado físicamente sonrío,Depressed,6,neutral,others
 solo quiero acostarme en la cama y no participar en la vida,Depressed,12,negative,others
 ¿Alguna vez has sentido ganas de llorar porque tu vida es una mierda y sigues estropeándola?,Depressed,16,negative,anger
" apesta, no se siente como si no fueras lo suficientemente bueno, no importa cuánto lo intentes",Depressed,16,neutral,others
Literalmente arruino todo sin siquiera intentarlo.,Depressed,6,negative,others
 me pierdo hace mucho tiempo ya no se quien soy,Depressed,10,neutral,others
 ¿Alguna vez has sentido que la gente se olvida de que existes?,Depressed,12,neutral,others
 nadie me odia más que yo mismo,Depressed,7,neutral,others
me encanta escuchar la palabra te extraño si tan solo alguien lo dijera y lo sintiera,Depressed,16,neutral,others
 no lo hagas por ellos porque tienes que hacerlo porque quieres,Depressed,11,neutral,others
 malas noticias sea que todos no les gusten buenas noticias sea que no sea su problema,Depressed,16,negative,others
 corte de papel tan pequeño pero tan malvado,Depressed,8,negative,others
 no hay nada malo en la vida nada sea un error todo sea una experiencia,Depressed,15,negative,others
